LAT,LON,PLACE,YEAR,MONTH,DAY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,TEMPERATURE,WS10M_RANGE,WS10M_MIN,WS10M_MAX,WS10M
23.79831,86.44081,DHANBAD,2010,1,1,0,6.02,64.45,98.48,14.17,12.24,6.16,6.17,21.07,6.9,12.74,1.61,2.54,4.16,3.31
23.79831,86.44081,DHANBAD,2010,1,2,0,5.64,62.71,98.61,15.09,11.45,5.18,5.19,21.14,6.05,12.18,1.05,2.23,3.28,2.94
23.79831,86.44081,DHANBAD,2010,1,3,0,5.53,59.05,98.48,16.42,11.55,4.91,4.92,22.26,5.84,12.78,1.92,1.81,3.72,2.87
23.79831,86.44081,DHANBAD,2010,1,4,0,6.62,64.63,98.21,15.74,13.49,7.21,7.22,22.98,7.23,14.11,2.76,2.81,5.58,3.89
23.79831,86.44081,DHANBAD,2010,1,5,0,6.41,63.68,98.21,14.17,13.34,7.04,7.04,21.93,7.76,13.84,3.05,1.95,5,3.37
23.79831,86.44081,DHANBAD,2010,1,6,0,5.85,61.42,98.33,14.65,12.12,5.7,5.71,20.91,6.26,13.01,1.76,1.38,3.14,2.38
23.79831,86.44081,DHANBAD,2010,1,7,0,5.86,57.52,98.51,14.2,12.39,5.79,5.8,21.73,7.54,14.09,0.85,1.43,2.28,1.85
23.79831,86.44081,DHANBAD,2010,1,8,0,5.88,54.09,98.47,14.65,12.99,5.78,5.79,23.07,8.42,15.07,1.09,1.37,2.47,1.91
23.79831,86.44081,DHANBAD,2010,1,9,0,6.32,58.89,98.39,16.56,13.71,6.77,6.78,23.85,7.28,14.85,2.47,1.21,3.68,2.45
23.79831,86.44081,DHANBAD,2010,1,10,0,6.33,59.22,98.42,15.93,13.87,6.82,6.82,23.98,8.05,14.8,2.33,2.11,4.44,3.1
23.79831,86.44081,DHANBAD,2010,1,11,0,6.19,57.92,98.48,16.39,14,6.49,6.5,24.2,7.8,14.82,1.81,2.21,4.03,2.96
23.79831,86.44081,DHANBAD,2010,1,12,0,6.24,56.7,98.51,16.45,14.68,6.57,6.58,24.28,7.82,15.27,1.98,2.04,4.03,2.92
23.79831,86.44081,DHANBAD,2010,1,13,0.04,7.05,60.63,98.61,9.94,15.39,8.26,8.27,22.2,12.25,16.13,1.94,0.12,2.05,1.51
23.79831,86.44081,DHANBAD,2010,1,14,0.02,9.19,76.16,98.77,10.55,16.62,12.43,12.43,22.64,12.08,16.73,1.28,1.48,2.76,2
23.79831,86.44081,DHANBAD,2010,1,15,0,7.67,66.94,98.93,14.15,15.93,9.79,9.8,23.72,9.57,15.96,2.15,1.35,3.5,2.35
23.79831,86.44081,DHANBAD,2010,1,16,0,6.73,62.17,98.95,14.64,14.79,7.87,7.87,23.27,8.63,15.09,1.97,1.8,3.77,2.71
23.79831,86.44081,DHANBAD,2010,1,17,0,6.09,57.41,98.9,15.09,14.26,6.39,6.4,23.13,8.04,14.76,1.36,1.89,3.25,2.74
23.79831,86.44081,DHANBAD,2010,1,18,0,5.77,52.2,98.78,14.79,14.54,5.54,5.55,23.54,8.75,15.37,1.78,1.31,3.09,2.44
23.79831,86.44081,DHANBAD,2010,1,19,0,5.42,51.73,98.58,14.93,14,4.64,4.66,23.44,8.5,14.53,1.49,1.9,3.39,2.73
23.79831,86.44081,DHANBAD,2010,1,20,0,5.05,49.29,98.73,16.84,12.98,3.66,3.68,23.12,6.28,14.19,2.51,1.48,3.99,2.79
23.79831,86.44081,DHANBAD,2010,1,21,0,4.97,48.7,98.6,16.94,13.21,3.4,3.42,23.7,6.76,14.14,1.27,2.11,3.38,2.91
23.79831,86.44081,DHANBAD,2010,1,22,0,4.86,45.57,98.55,17.56,13.86,3.03,3.07,24.94,7.38,14.81,1.74,1.7,3.44,2.77
23.79831,86.44081,DHANBAD,2010,1,23,0,4.89,44.8,98.56,16.55,13.94,3.14,3.17,24.63,8.08,15.17,1.99,1,2.99,2.13
23.79831,86.44081,DHANBAD,2010,1,24,0,5.05,44.79,98.48,15.64,14.1,3.55,3.58,24.88,9.24,15.66,2.15,0.92,3.07,2.09
23.79831,86.44081,DHANBAD,2010,1,25,0,5.26,42.57,98.49,14.51,14.87,4.16,4.19,25.56,11.04,17.1,1.88,0.41,2.3,1.34
23.79831,86.44081,DHANBAD,2010,1,26,0,5.48,46.14,98.52,17.09,15.27,4.76,4.78,26.47,9.38,16.49,1.41,1.91,3.32,2.73
23.79831,86.44081,DHANBAD,2010,1,27,0,5.48,44.85,98.6,15.9,15.42,4.8,4.82,25.69,9.79,16.93,1.32,1.45,2.77,2.18
23.79831,86.44081,DHANBAD,2010,1,28,0,5.61,45.68,98.61,13.66,15.33,5.14,5.16,25.16,11.49,17.02,1.6,1.09,2.69,2.02
23.79831,86.44081,DHANBAD,2010,1,29,0,5.41,43.96,98.54,15.58,15.24,4.63,4.65,25.49,9.91,17.04,1.25,1.45,2.7,2.02
23.79831,86.44081,DHANBAD,2010,1,30,0,5.7,45.82,98.43,16.2,15.61,5.29,5.31,25.79,9.59,17.18,2.02,1.79,3.81,2.82
23.79831,86.44081,DHANBAD,2010,1,31,0,6.05,50.36,98.51,15.31,15.76,6.24,6.25,24.83,9.52,16.63,2.3,2.27,4.57,3.25
23.79831,86.44081,DHANBAD,2010,2,1,0,5.77,45.01,98.46,15.26,16.21,5.52,5.54,25.86,10.61,17.65,1.47,1.63,3.1,2.22
